ano,internacoes,codigo_municipio,municipio,obitos,taxa_mortalidade,populacao,fonte_populacao,internacoes_por_100k,obitos_por_100k
2021,681,130002,Alvaraes,18,2.643171806167401,16396,IBGE - Estimativas de populacao,4153.45206147841,109.78287387167602
2021,362,130006,Amatura,6,1.6574585635359116,11934,IBGE - Estimativas de populacao,3033.3500921736213,50.27652086475615
2021,649,130008,Anama,5,0.7704160246533128,14292,IBGE - Estimativas de populacao,4541.00195913798,34.98460677301988
2021,818,130010,Anori,13,1.5892420537897312,21937,IBGE - Estimativas de populacao,3728.8599170351463,59.260609928431414
2021,1035,130014,Apui,24,2.318840579710145,22739,IBGE - Estimativas de populacao,4551.651347904482,105.54553850213289
2021,516,130020,Atalaia Do Norte,13,2.5193798449612403,20868,IBGE - Estimativas de populacao,2472.6854514088554,62.296338892083575
2021,1684,130030,Autazes,58,3.44418052256532,41005,IBGE - Estimativas de populacao,4106.816241921717,141.44616510181686
2021,933,130040,Barcelos,34,3.644158628081458,27772,IBGE - Estimativas de populacao,3359.498775745355,122.42546449661529
2021,1909,130050,Barreirinha,67,3.509690937663698,32919,IBGE - Estimativas de populacao,5799.0825966766915,203.52987636319452
2021,1657,130060,Benjamin Constant,49,2.957151478575739,44873,IBGE - Estimativas de populacao,3692.6436832839345,109.19706727876451
2021,1041,130063,Beruri,36,3.45821325648415,20503,IBGE - Estimativas de populacao,5077.305760132664,175.5840608691411
2021,1026,130068,Boa Vista Do Ramos,22,2.144249512670565,20040,IBGE - Estimativas de populacao,5119.760479041916,109.78043912175649
2021,2336,130070,Boca Do Acre,58,2.482876712328767,34958,IBGE - Estimativas de populacao,6682.304479661308,165.9133817724126
2021,2419,130080,Borba,53,2.190988011575031,42328,IBGE - Estimativas de populacao,5714.893214893215,125.21262521262521
2021,583,130083,Caapiranga,14,2.401372212692967,13482,IBGE - Estimativas de populacao,4324.284230826287,103.84215991692626
2021,711,130090,Canutama,7,0.9845288326300985,15981,IBGE - Estimativas de populacao,4449.033226957012,43.802014892685065
2021,1723,130100,Carauari,62,3.5983749274521184,28719,IBGE - Estimativas de populacao,5999.512517845329,215.88495421149761
2021,1598,130110,Careiro,86,5.381727158948686,38820,IBGE - Estimativas de populacao,4116.434827408552,221.53529108706852
2021,245,130115,Careiro Da Varzea,24,9.795918367346939,31459,IBGE - Estimativas de populacao,778.7914428303507,76.28977399154455
2021,4516,130120,Coari,242,5.358724534986714,86713,IBGE - Estimativas de populacao,5207.984961885761,279.08156793099073
2021,1322,130130,Codajas,50,3.7821482602118004,29691,IBGE - Estimativas de populacao,4452.527701997238,168.40119901653702
2021,1827,130140,Eirunepe,53,2.9009304871373836,36121,IBGE - Estimativas de populacao,5057.999501674925,146.72904958334487
2021,880,130150,Envira,21,2.3863636363636367,20748,IBGE - Estimativas de populacao,4241.372662425294,101.21457489878543
2021,1590,130160,Fonte Boa,39,2.4528301886792456,16409,IBGE - Estimativas de populacao,9689.80437564751,237.6744469498446
2021,998,130165,Guajara,23,2.3046092184368736,17193,IBGE - Estimativas de populacao,5804.687954400047,133.77537369859826
2021,3085,130170,Humaita,118,3.8249594813614265,57195,IBGE - Estimativas de populacao,5393.828131829705,206.3117405367602
2021,1109,130180,Ipixuna,14,1.2623985572587917,31172,IBGE - Estimativas de populacao,3557.6799692031313,44.91210060310535
2021,2211,130185,Iranduba,115,5.201266395296246,49718,IBGE - Estimativas de populacao,4447.081539884951,231.3045577054588
2021,5686,130190,Itacoatiara,343,6.032360182905381,104046,IBGE - Estimativas de populacao,5464.890529189012,329.6618803221652
2021,36,130195,Itamarati,3,8.333333333333332,7777,IBGE - Estimativas de populacao,462.9034332004629,38.575286100038575
2021,585,130200,Itapiranga,25,4.273504273504273,9312,IBGE - Estimativas de populacao,6282.216494845361,268.4707903780069
2021,354,130210,Japura,7,1.977401129943503,1755,IBGE - Estimativas de populacao,20170.94017094017,398.8603988603989
2021,228,130220,Jurua,11,4.824561403508771,15495,IBGE - Estimativas de populacao,1471.4424007744433,70.99064214262665
2021,972,130230,Jutai,6,0.6172839506172839,13462,IBGE - Estimativas de populacao,7220.323874610013,44.56990046055564
2021,2304,130240,Labrea,38,1.6493055555555556,47685,IBGE - Estimativas de populacao,4831.70808430324,79.68962986264025
2021,6299,130250,Manacapuru,295,4.683283060803302,99613,IBGE - Estimativas de populacao,6323.471836005341,296.14608535030567
2021,1021,130255,Manaquiri,29,2.840352595494613,33981,IBGE - Estimativas de populacao,3004.620228951473,85.34180865777934
2021,116465,130260,Manaus,7928,6.807195294723736,2255903,IBGE - Estimativas de populacao,5162.677650590474,351.4335501127486
