ano,internacoes,obitos,populacao,taxa_mortalidade,internacoes_por_100k,obitos_por_100k
2021,215288,11727,4269995,5.447121994723347,5041.87944013986,274.63732393129266
2022,213892,7456,3941613,3.4858713743384513,5426.509401100514,189.16113783874775
2023,216155,7039,4111413,3.2564594850917166,5257.4382578446875,171.20634682042405
2024,230844,7348,4281209,3.1831020082826496,5392.028279862067,171.63376046345786
2025,261018,7871,4321616,3.015500846684903,6039.823991766043,182.13094360998292
